Fecha,Tasa_CETES_28d
01/09/82,53.32
01/10/82,36.23
01/11/82,38.98
01/12/82,49.1
01/01/83,53.86
01/02/83,56.92
01/03/83,61.95
01/04/83,59.69
01/05/83,60.19
01/06/83,59.18
01/07/83,59.4
01/02/85,48.26
01/03/85,55.29
01/04/85,57.77
01/05/85,56.08
01/06/85,61.98
01/07/85,65.54
01/08/85,69.31
01/09/85,65.35
01/10/85,61.95
01/11/85,64.31
01/12/85,71.65
01/01/86,72.15
01/02/86,72.49
01/03/86,77.5
01/04/86,80.5
01/05/86,80.5
01/06/86,84.63
01/07/86,90.08
01/08/86,95.17
01/09/86,100.89
01/10/86,99.66
01/11/86,95.61
01/12/86,99.28
01/01/87,96.74
01/02/87,96.71
01/03/87,95.55
01/04/87,92.97
01/05/87,91.5
01/06/87,91.64
01/07/87,91.26
01/08/87,90.22
01/09/87,89.93
01/10/87,90.1
01/11/87,103.91
01/12/87,122.04
01/01/88,157.07
01/02/88,153.52
01/03/88,96.48
01/04/88,63.5
01/05/88,53.12
01/06/88,40.41
01/07/88,40.32
01/08/88,41.34
01/09/88,41.84
01/10/88,44.51
01/11/88,50
01/12/88,52.3
01/01/89,50.78
01/02/89,49.15
01/03/89,47.79
01/04/89,50.09
01/05/89,51.83
01/06/89,56.68
01/07/89,47.03
01/08/89,34.76
01/09/89,34.35
01/10/89,37.92
01/11/89,38.99
01/12/89,40.55
01/01/90,41.29
01/02/90,45.2
01/03/90,46.65
01/04/90,44.64
01/05/90,36.92
01/06/90,32.38
01/07/90,30.66
01/08/90,29.72
01/09/90,30.14
01/10/90,28.7
01/11/90,24.82
01/12/90,25.99
01/01/91,23.64
01/02/91,23.15
01/03/91,22.04
01/04/91,21.12
01/05/91,19.77
01/06/91,17.74
01/07/91,18.47
01/08/91,16.71
01/09/91,17.55
01/10/91,17.87
01/11/91,16.62
01/12/91,16.65
01/01/92,15.31
01/02/92,14.56
01/03/92,11.84
01/04/92,12.44
01/05/92,13.6
01/06/92,15.03
01/07/92,16.23
01/08/92,16.49
01/09/92,17.54
01/10/92,19.39
01/11/92,18.15
01/12/92,16.88
01/01/93,16.72
01/02/93,17.74
01/03/93,17.47
01/04/93,16.17
01/05/93,15.04
01/06/93,15.5
01/07/93,13.85
01/08/93,13.68
01/09/93,13.71
01/10/93,13.13
01/11/93,14.38
01/12/93,11.78
01/01/94,10.52
01/02/94,9.45
01/03/94,9.73
01/04/94,15.79
01/05/94,16.36
01/06/94,16.18
01/07/94,17.07
01/08/94,14.46
01/09/94,13.76
01/10/94,13.6
01/11/94,13.74
01/12/94,18.51
01/01/95,37.25
01/02/95,41.69
01/03/95,69.54
01/04/95,74.75
01/05/95,59.17
01/06/95,47.25
01/07/95,40.94
01/08/95,35.14
01/09/95,33.46
01/10/95,40.29
01/11/95,53.16
01/12/95,48.62
01/01/96,40.99
01/02/96,38.58
01/03/96,41.45
01/04/96,35.21
01/05/96,28.45
01/06/96,27.81
01/07/96,31.25
01/08/96,26.51
01/09/96,23.9
01/10/96,25.75
01/11/96,29.57
01/12/96,27.23
01/01/97,23.55
01/02/97,19.8
01/03/97,21.66
01/04/97,21.35
01/05/97,18.42
01/06/97,20.17
01/07/97,18.8
01/08/97,18.93
01/09/97,18.02
01/10/97,17.92
01/11/97,20.16
01/12/97,18.85
01/01/98,17.95
01/02/98,18.74
01/03/98,19.85
01/04/98,19.03
01/05/98,17.91
01/06/98,19.5
01/07/98,20.08
01/08/98,22.64
01/09/98,40.8
01/10/98,34.86
01/11/98,32.12
01/12/98,33.66
01/01/99,32.13
01/02/99,28.76
01/03/99,23.47
01/04/99,20.29
01/05/99,19.89
01/06/99,21.08
01/07/99,19.78
01/08/99,20.54
01/09/99,19.71
01/10/99,17.87
01/11/99,16.96
01/12/99,16.45
01/01/00,16.19
01/02/00,15.81
01/03/00,13.66
01/04/00,12.93
01/05/00,14.18
01/06/00,15.65
01/07/00,13.73
01/08/00,15.23
01/09/00,15.06
01/10/00,15.88
01/11/00,17.56
01/12/00,17.05
01/01/01,17.89
01/02/01,17.34
01/03/01,15.8
01/04/01,14.96
01/05/01,11.95
01/06/01,9.43
01/07/01,9.39
01/08/01,7.51
01/09/01,9.32
01/10/01,8.36
01/11/01,7.43
01/12/01,6.29
01/01/02,6.97
01/02/02,7.91
01/03/02,7.23
01/04/02,5.76
01/05/02,6.61
01/06/02,7.3
01/07/02,7.38
01/08/02,6.68
01/09/02,7.34
01/10/02,7.66
01/11/02,7.3
01/12/02,6.88
01/01/03,8.27
01/02/03,9.04
01/03/03,9.17
01/04/03,7.86
01/05/03,5.25
01/06/03,5.2
01/07/03,4.57
01/08/03,4.45
01/09/03,4.73
01/10/03,5.11
01/11/03,4.99
01/12/03,6.06
01/01/04,4.95
01/02/04,5.57
01/03/04,6.28
01/04/04,5.98
01/05/04,6.59
01/06/04,6.57
01/07/04,6.81
01/08/04,7.21
01/09/04,7.36
01/10/04,7.76
01/11/04,8.2
01/12/04,8.5
01/01/05,8.6
01/02/05,9.15
01/03/05,9.41
01/04/05,9.63
01/05/05,9.75
01/06/05,9.63
01/07/05,9.61
01/08/05,9.6
01/09/05,9.21
01/10/05,8.91
01/11/05,8.71
01/12/05,8.22
01/01/06,7.88
01/02/06,7.61
01/03/06,7.37
01/04/06,7.17
01/05/06,7.02
01/06/06,7.02
01/07/06,7.03
01/08/06,7.03
01/09/06,7.06
01/10/06,7.05
01/11/06,7.04
01/12/06,7.04
01/01/07,7.04
01/02/07,7.04
01/03/07,7.04
01/04/07,7.01
01/05/07,7.24
01/06/07,7.2
01/07/07,7.19
01/08/07,7.2
01/09/07,7.21
01/10/07,7.2
01/11/07,7.44
01/12/07,7.44
01/01/08,7.42
01/02/08,7.43
01/03/08,7.43
01/04/08,7.44
01/05/08,7.44
01/06/08,7.56
01/07/08,7.93
01/08/08,8.18
01/09/08,8.17
01/10/08,7.74
01/11/08,7.43
01/12/08,8.02
01/01/09,7.59
01/02/09,7.12
01/03/09,7.03
01/04/09,6.05
01/05/09,5.29
01/06/09,4.98
01/07/09,4.59
01/08/09,4.49
01/09/09,4.48
01/10/09,4.51
01/11/09,4.51
01/12/09,4.5
01/01/10,4.49
01/02/10,4.49
01/03/10,4.45
01/04/10,4.44
01/05/10,4.52
01/06/10,4.59
01/07/10,4.6
01/08/10,4.52
01/09/10,4.43
01/10/10,4.03
01/11/10,3.97
01/12/10,4.3
01/01/11,4.14
01/02/11,4.04
01/03/11,4.27
01/04/11,4.28
01/05/11,4.31
01/06/11,4.37
01/07/11,4.14
01/08/11,4.05
01/09/11,4.23
01/10/11,4.36
01/11/11,4.35
01/12/11,4.34
01/01/12,4.27
01/02/12,4.32
01/03/12,4.24
01/04/12,4.29
01/05/12,4.39
01/06/12,4.34
01/07/12,4.15
01/08/12,4.13
01/09/12,4.17
01/10/12,4.21
01/11/12,4.29
01/12/12,4.05
01/01/13,4.15
01/02/13,4.19
01/03/13,3.98
01/04/13,3.82
01/05/13,3.72
01/06/13,3.78
01/07/13,3.85
01/08/13,3.84
01/09/13,3.64
01/10/13,3.39
01/11/13,3.39
01/12/13,3.29
01/01/14,3.14
01/02/14,3.16
01/03/14,3.17
01/04/14,3.23
01/05/14,3.28
01/06/14,3.02
01/07/14,2.83
01/08/14,2.77
01/09/14,2.83
01/10/14,2.9
01/11/14,2.85
01/12/14,2.81
01/01/15,2.67
01/02/15,2.81
01/03/15,3.04
01/04/15,2.97
01/05/15,2.98
01/06/15,2.96
01/07/15,2.99
01/08/15,3.04
01/09/15,3.1
01/10/15,3.02
01/11/15,3.02
01/12/15,3.14
01/01/16,3.08
01/02/16,3.36
01/03/16,3.8
01/04/16,3.74
01/05/16,3.81
01/06/16,3.81
01/07/16,4.21
01/08/16,4.24
01/09/16,4.28
01/10/16,4.69
01/11/16,5.15
01/12/16,5.61
01/01/17,5.83
01/02/17,6.06
01/03/17,6.32
01/04/17,6.5
01/05/17,6.56
01/06/17,6.82
01/07/17,6.99
01/08/17,6.94
01/09/17,6.99
01/10/17,7.03
01/11/17,7.02
01/12/17,7.17
01/01/18,7.25
01/02/18,7.4
01/03/18,7.47
01/04/18,7.46
01/05/18,7.51
01/06/18,7.64
01/07/18,7.73
01/08/18,7.73
01/09/18,7.69
01/10/18,7.69
01/11/18,7.83
01/12/18,8.02
01/01/19,7.95
01/02/19,7.93
01/03/19,8.02
01/04/19,7.78
01/05/19,8.07
01/06/19,8.25
01/07/19,8.14
01/08/19,8.01
01/09/19,7.72
01/10/19,7.66
01/11/19,7.47
01/12/19,7.12
01/01/20,7.12
01/02/20,6.96
01/03/20,6.81
01/04/20,6.09
01/05/20,5.47
01/06/20,5.06
01/07/20,4.82
01/08/20,4.49
01/09/20,4.38
01/10/20,4.2
01/11/20,4.23
01/12/20,4.27
01/01/21,4.22
01/02/21,4.12
01/03/21,4.05
01/04/21,4.07
01/05/21,4.06
01/06/21,4.02
01/07/21,4.32
01/08/21,4.46
01/09/21,4.55
01/10/21,4.84
01/11/21,5.05
01/12/21,5.29
01/01/22,5.53
01/02/22,5.87
01/03/22,6.31
01/04/22,6.56
01/05/22,6.91
01/06/22,7.31
01/07/22,7.76
01/08/22,8.25
01/09/22,8.7
01/10/22,8.93
01/11/22,9.42
01/12/22,9.96
01/01/23,10.61
01/02/23,10.92
01/03/23,11.23
01/04/23,11.29
01/05/23,11.32
01/06/23,11.16
01/07/23,11.22
01/08/23,11.16
01/09/23,11.08
01/10/23,11.08
01/11/23,10.89
01/12/23,11.21
01/01/24,11.29
01/02/24,11.05
01/03/24,11.02
01/04/24,10.97
01/05/24,10.99
01/06/24,10.97
01/07/24,10.92
01/08/24,10.76
01/09/24,10.44
01/10/24,10.24
01/11/24,10.05
01/12/24,9.85
01/01/25,9.86
01/02/25,9.45
01/03/25,9.1
01/04/25,8.81
01/05/25,8.31
01/06/25,8.09
01/07/25,7.67
01/08/25,7.39
01/09/25,7.29
01/10/25,7.25
01/11/25,7.19
01/12/25,7.16
01/01/26,7
01/02/26,6.86
01/03/26,6.81
01/04/26,6.58
